id_transaksi,id_buku,tanggal_pinjam,status
2451EF02,B0002,2025-12-13 02:16:55,Kembali
ACC418A5,B0003,2025-12-13 02:37:58,Kembali
D5F65400,A0001,2025-12-13 02:47:47,Kembali
0ADA6F43,A0001,2025-12-13 02:48:13,Kembali
1733B510,A0002,2025-12-13 23:59:37,Kembali
2912DF0F,A0006,2025-12-13 23:59:58,Kembali
CD7118C3,A0019,2025-12-14 00:00:10,Kembali
31EB587B,C0011,2025-12-14 00:00:53,Kembali
83C208FB,C0002,2025-12-14 14:07:58,Kembali
F257D5A1,C0014,2025-12-14 14:18:36,Dipinjam
EDB394C6,D0030,2025-12-14 14:27:05,Kembali
D9E4A86D,A0001,2025-12-14 15:46:58,Dipinjam
39E43FE2,B0001,2025-12-14 15:46:58,Dipinjam
8DDEEB94,C0001,2025-12-14 15:46:58,Dipinjam
FFD63715,A0001,2025-12-14 15:55:46,Kembali
F2A4DA48,B0002,2025-12-14 15:55:46,Kembali
449F7F0A,C0003,2025-12-14 15:55:47,Kembali
EFE718EA,A0011,2025-12-15 08:37:40,Kembali
23FEF1F7,A0001,2025-12-15 08:38:43,Kembali
51CC29F3,B0002,2025-12-15 08:38:43,Kembali
D33E0024,C0003,2025-12-15 08:38:43,Kembali
45DFD5A3,A0038,2025-12-15 08:52:02,Dipinjam
428E914E,A0001,2025-12-15 08:52:51,Dipinjam
E7EA43AF,B0002,2025-12-15 08:52:51,Dipinjam
